location,date,new_cases
China,2019-12-31,27.0
China,2020-01-01,0.0
China,2020-01-02,0.0
China,2020-01-03,17.0
China,2020-01-04,0.0
China,2020-01-05,15.0
China,2020-01-06,0.0
China,2020-01-07,0.0
China,2020-01-08,0.0
China,2020-01-09,0.0
China,2020-01-10,0.0
China,2020-01-11,0.0
China,2020-01-12,0.0
China,2020-01-13,0.0
China,2020-01-14,0.0
China,2020-01-15,0.0
China,2020-01-16,0.0
China,2020-01-17,4.0
China,2020-01-18,17.0
China,2020-01-19,136.0
China,2020-01-20,19.0
China,2020-01-21,151.0
China,2020-01-22,140.0
China,2020-01-23,97.0
China,2020-01-24,259.0
China,2020-01-25,441.0
China,2020-01-26,665.0
China,2020-01-27,787.0
China,2020-01-28,1753.0
China,2020-01-29,1466.0
China,2020-01-30,1740.0
China,2020-01-31,1980.0
China,2020-02-01,2095.0
China,2020-02-02,2590.0
China,2020-02-03,2812.0
China,2020-02-04,3237.0
China,2020-02-05,3872.0
China,2020-02-06,3727.0
China,2020-02-07,3160.0
China,2020-02-08,3418.0
China,2020-02-09,2607.0
China,2020-02-10,2974.0
China,2020-02-11,2490.0
China,2020-02-12,2028.0
China,2020-02-13,15141.0
China,2020-02-14,4156.0
China,2020-02-15,2538.0
China,2020-02-16,2007.0
China,2020-02-17,2052.0
China,2020-02-18,1890.0
China,2020-02-19,1750.0
China,2020-02-20,394.0
China,2020-02-21,891.0
China,2020-02-22,826.0
China,2020-02-23,647.0
China,2020-02-24,218.0
China,2020-02-25,515.0
China,2020-02-26,410.0
China,2020-02-27,439.0
China,2020-02-28,329.0
China,2020-02-29,428.0
China,2020-03-01,574.0
China,2020-03-02,205.0
China,2020-03-03,127.0
China,2020-03-04,119.0
China,2020-03-05,117.0
China,2020-03-06,170.0
China,2020-03-07,101.0
China,2020-03-08,46.0
China,2020-03-09,45.0
China,2020-03-10,20.0
China,2020-03-11,29.0
China,2020-03-12,24.0
China,2020-03-13,22.0
China,2020-03-14,19.0
China,2020-03-15,22.0
China,2020-03-16,25.0
China,2020-03-17,43.0
China,2020-03-18,23.0
China,2020-03-19,44.0
China,2020-03-20,99.0
China,2020-03-21,52.0
China,2020-03-22,65.0
China,2020-03-23,138.0
China,2020-03-24,69.0
China,2020-03-25,78.0
China,2020-03-26,102.0
China,2020-03-27,94.0
China,2020-03-28,119.0
China,2020-03-29,113.0
China,2020-03-30,98.0
China,2020-03-31,84.0
China,2020-04-01,54.0
China,2020-04-02,100.0
China,2020-04-03,70.0
China,2020-04-04,62.0
China,2020-04-05,48.0
China,2020-04-06,67.0
China,2020-04-07,56.0
China,2020-04-08,86.0
China,2020-04-09,86.0
China,2020-04-10,55.0
China,2020-04-11,79.0
China,2020-04-12,93.0
China,2020-04-13,112.0
China,2020-04-14,94.0
China,2020-04-15,49.0
China,2020-04-16,50.0
China,2020-04-17,352.0
China,2020-04-18,31.0
China,2020-04-19,18.0
China,2020-04-20,14.0
China,2020-04-21,32.0
China,2020-04-22,15.0
China,2020-04-23,12.0
China,2020-04-24,8.0
China,2020-04-25,15.0
China,2020-04-26,10.0
China,2020-04-27,3.0
China,2020-04-28,26.0
China,2020-04-29,2.0
China,2020-04-30,4.0
China,2020-05-01,12.0
China,2020-05-02,3.0
China,2020-05-03,2.0
China,2020-05-04,3.0
China,2020-05-05,2.0
China,2020-05-06,2.0
China,2020-05-07,2.0
China,2020-05-08,6.0
China,2020-05-09,0.0
China,2020-05-10,15.0
China,2020-05-11,19.0
China,2020-05-12,1.0
China,2020-05-13,7.0
China,2020-05-14,6.0
China,2020-05-15,5.0
China,2020-05-16,9.0
China,2020-05-17,6.0
China,2020-05-18,10.0
China,2020-05-19,9.0
China,2020-05-20,2.0
China,2020-05-21,2.0
China,2020-05-22,12.0
China,2020-05-23,2.0
China,2020-05-24,3.0
China,2020-05-25,11.0
China,2020-05-26,7.0
China,2020-05-27,1.0
China,2020-05-28,3.0
China,2020-05-29,0.0
China,2020-05-30,17.0
China,2020-05-31,5.0
China,2020-06-01,19.0
China,2020-06-02,7.0
China,2020-06-03,5.0
China,2020-06-04,1.0
China,2020-06-05,11.0
China,2020-06-06,6.0
China,2020-06-07,9.0
China,2020-06-08,5.0
China,2020-06-09,3.0
China,2020-06-10,4.0
China,2020-06-11,11.0
China,2020-06-12,7.0
China,2020-06-13,12.0
China,2020-06-14,60.0
China,2020-06-15,47.0
China,2020-06-16,43.0
China,2020-06-17,44.0
China,2020-06-18,36.0
China,2020-06-19,36.0
China,2020-06-20,30.0
China,2020-06-21,29.0
China,2020-06-22,19.0
China,2020-06-23,52.0
China,2020-06-24,29.0
China,2020-06-25,20.0
China,2020-06-26,28.0
China,2020-06-27,24.0
China,2020-06-28,18.0
China,2020-06-29,14.0
China,2020-06-30,23.0
China,2020-07-01,5.0
China,2020-07-02,31.0
China,2020-07-03,14.0
China,2020-07-04,9.0
China,2020-07-05,18.0
China,2020-07-06,14.0
China,2020-07-07,25.0
China,2020-07-08,21.0
China,2020-07-09,33.0
China,2020-07-10,46.0
China,2020-07-11,40.0
China,2020-07-12,35.0
China,2020-07-13,46.0
China,2020-07-14,55.0
China,2020-07-15,54.0
China,2020-07-16,20.0
China,2020-07-17,77.0
China,2020-07-18,80.0
China,2020-07-19,80.0
China,2020-07-20,130.0
China,2020-07-21,84.0
China,2020-07-22,74.0
China,2020-07-23,135.0
China,2020-07-24,139.0
China,2020-07-25,157.0
China,2020-07-26,179.0
China,2020-07-27,189.0
China,2020-07-28,213.0
Italy,2019-12-31,0.0
Italy,2020-01-01,0.0
Italy,2020-01-02,0.0
Italy,2020-01-03,0.0
Italy,2020-01-04,0.0
Italy,2020-01-05,0.0
Italy,2020-01-06,0.0
Italy,2020-01-07,0.0
Italy,2020-01-08,0.0
Italy,2020-01-09,0.0
Italy,2020-01-10,0.0
Italy,2020-01-11,0.0
Italy,2020-01-12,0.0
Italy,2020-01-13,0.0
Italy,2020-01-14,0.0
Italy,2020-01-15,0.0
Italy,2020-01-16,0.0
Italy,2020-01-17,0.0
Italy,2020-01-18,0.0
Italy,2020-01-19,0.0
Italy,2020-01-20,0.0
Italy,2020-01-21,0.0
Italy,2020-01-22,0.0
Italy,2020-01-23,0.0
Italy,2020-01-24,0.0
Italy,2020-01-25,0.0
Italy,2020-01-26,0.0
Italy,2020-01-27,0.0
Italy,2020-01-28,0.0
Italy,2020-01-29,0.0
Italy,2020-01-30,0.0
Italy,2020-01-31,3.0
Italy,2020-02-01,0.0
Italy,2020-02-02,0.0
Italy,2020-02-03,0.0
Italy,2020-02-04,0.0
Italy,2020-02-05,0.0
Italy,2020-02-06,0.0
Italy,2020-02-07,0.0
Italy,2020-02-08,0.0
Italy,2020-02-09,0.0
Italy,2020-02-10,0.0
Italy,2020-02-11,0.0
Italy,2020-02-12,0.0
Italy,2020-02-13,0.0
Italy,2020-02-14,0.0
Italy,2020-02-15,0.0
Italy,2020-02-16,0.0
Italy,2020-02-17,0.0
Italy,2020-02-18,0.0
Italy,2020-02-19,0.0
Italy,2020-02-20,0.0
Italy,2020-02-21,0.0
Italy,2020-02-22,14.0
Italy,2020-02-23,62.0
Italy,2020-02-24,53.0
Italy,2020-02-25,97.0
Italy,2020-02-26,93.0
Italy,2020-02-27,78.0
Italy,2020-02-28,250.0
Italy,2020-02-29,238.0
Italy,2020-03-01,240.0
Italy,2020-03-02,561.0
Italy,2020-03-03,347.0
Italy,2020-03-04,466.0
Italy,2020-03-05,587.0
Italy,2020-03-06,769.0
Italy,2020-03-07,778.0
Italy,2020-03-08,1247.0
Italy,2020-03-09,1492.0
Italy,2020-03-10,1797.0
Italy,2020-03-11,977.0
Italy,2020-03-12,2313.0
Italy,2020-03-13,2651.0
Italy,2020-03-14,2547.0
Italy,2020-03-15,3497.0
Italy,2020-03-16,2823.0
Italy,2020-03-17,4000.0
Italy,2020-03-18,3526.0
Italy,2020-03-19,4207.0
Italy,2020-03-20,5322.0
Italy,2020-03-21,5986.0
Italy,2020-03-22,6557.0
Italy,2020-03-23,5560.0
Italy,2020-03-24,4789.0
Italy,2020-03-25,5249.0
Italy,2020-03-26,5210.0
Italy,2020-03-27,6153.0
Italy,2020-03-28,5959.0
Italy,2020-03-29,5974.0
Italy,2020-03-30,5217.0
Italy,2020-03-31,4050.0
Italy,2020-04-01,4053.0
Italy,2020-04-02,4782.0
Italy,2020-04-03,4668.0
Italy,2020-04-04,4585.0
Italy,2020-04-05,4805.0
Italy,2020-04-06,4316.0
Italy,2020-04-07,3599.0
Italy,2020-04-08,3039.0
Italy,2020-04-09,3836.0
Italy,2020-04-10,4204.0
Italy,2020-04-11,3951.0
Italy,2020-04-12,4694.0
Italy,2020-04-13,4092.0
Italy,2020-04-14,3153.0
Italy,2020-04-15,2972.0
Italy,2020-04-16,2667.0
Italy,2020-04-17,3786.0
Italy,2020-04-18,3493.0
Italy,2020-04-19,3491.0
Italy,2020-04-20,3047.0
Italy,2020-04-21,2256.0
Italy,2020-04-22,2729.0
Italy,2020-04-23,3370.0
Italy,2020-04-24,2646.0
Italy,2020-04-25,3021.0
Italy,2020-04-26,2357.0
Italy,2020-04-27,2324.0
Italy,2020-04-28,1739.0
Italy,2020-04-29,2091.0
Italy,2020-04-30,2086.0
Italy,2020-05-01,1872.0
Italy,2020-05-02,1965.0
Italy,2020-05-03,1900.0
Italy,2020-05-04,1389.0
Italy,2020-05-05,1221.0
Italy,2020-05-06,1075.0
Italy,2020-05-07,1444.0
Italy,2020-05-08,1401.0
Italy,2020-05-09,1327.0
Italy,2020-05-10,1083.0
Italy,2020-05-11,802.0
Italy,2020-05-12,744.0
Italy,2020-05-13,1402.0
Italy,2020-05-14,888.0
Italy,2020-05-15,992.0
Italy,2020-05-16,789.0
Italy,2020-05-17,875.0
Italy,2020-05-18,675.0
Italy,2020-05-19,451.0
Italy,2020-05-20,813.0
Italy,2020-05-21,665.0
Italy,2020-05-22,642.0
Italy,2020-05-23,652.0
Italy,2020-05-24,669.0
Italy,2020-05-25,531.0
Italy,2020-05-26,300.0
Italy,2020-05-27,397.0
Italy,2020-05-28,584.0
Italy,2020-05-29,593.0
Italy,2020-05-30,516.0
Italy,2020-05-31,416.0
Italy,2020-06-01,355.0
Italy,2020-06-02,178.0
Italy,2020-06-03,318.0
Italy,2020-06-04,321.0
Italy,2020-06-05,177.0
Italy,2020-06-06,518.0
Italy,2020-06-07,270.0
Italy,2020-06-08,197.0
Italy,2020-06-09,280.0
Italy,2020-06-10,283.0
Italy,2020-06-11,202.0
Italy,2020-06-12,379.0
Italy,2020-06-13,163.0
Italy,2020-06-14,346.0
Italy,2020-06-15,338.0
Italy,2020-06-16,301.0
Italy,2020-06-17,210.0
Italy,2020-06-18,328.0
Italy,2020-06-19,331.0
Italy,2020-06-20,-148.0
Italy,2020-06-21,264.0
Italy,2020-06-22,224.0
Italy,2020-06-23,221.0
Italy,2020-06-24,113.0
Italy,2020-06-25,577.0
Italy,2020-06-26,296.0
Italy,2020-06-27,255.0
Italy,2020-06-28,175.0
Italy,2020-06-29,174.0
Italy,2020-06-30,126.0
Italy,2020-07-01,142.0
Italy,2020-07-02,182.0
Italy,2020-07-03,201.0
Italy,2020-07-04,223.0
Italy,2020-07-05,235.0
Italy,2020-07-06,192.0
Italy,2020-07-07,208.0
Italy,2020-07-08,137.0
Italy,2020-07-09,193.0
Italy,2020-07-10,214.0
Italy,2020-07-11,276.0
Italy,2020-07-12,188.0
Italy,2020-07-13,234.0
Italy,2020-07-14,169.0
Italy,2020-07-15,114.0
Italy,2020-07-16,162.0
Italy,2020-07-17,230.0
Italy,2020-07-18,231.0
Italy,2020-07-19,249.0
Italy,2020-07-20,218.0
Italy,2020-07-21,190.0
Italy,2020-07-22,128.0
Italy,2020-07-23,280.0
Italy,2020-07-24,306.0
Italy,2020-07-25,252.0
Italy,2020-07-26,274.0
Italy,2020-07-27,254.0
Italy,2020-07-28,168.0
South Korea,2019-12-31,0.0
South Korea,2020-01-01,0.0
South Korea,2020-01-02,0.0
South Korea,2020-01-03,0.0
South Korea,2020-01-04,0.0
South Korea,2020-01-05,0.0
South Korea,2020-01-06,0.0
South Korea,2020-01-07,0.0
South Korea,2020-01-08,0.0
South Korea,2020-01-09,0.0
South Korea,2020-01-10,0.0
South Korea,2020-01-11,0.0
South Korea,2020-01-12,0.0
South Korea,2020-01-13,0.0
South Korea,2020-01-14,0.0
South Korea,2020-01-15,0.0
South Korea,2020-01-16,0.0
South Korea,2020-01-17,0.0
South Korea,2020-01-18,0.0
South Korea,2020-01-19,0.0
South Korea,2020-01-20,1.0
South Korea,2020-01-21,0.0
South Korea,2020-01-22,0.0
South Korea,2020-01-23,0.0
South Korea,2020-01-24,1.0
South Korea,2020-01-25,0.0
South Korea,2020-01-26,1.0
South Korea,2020-01-27,1.0
South Korea,2020-01-28,0.0
South Korea,2020-01-29,0.0
South Korea,2020-01-30,0.0
South Korea,2020-01-31,3.0
South Korea,2020-02-01,5.0
South Korea,2020-02-02,3.0
South Korea,2020-02-03,0.0
South Korea,2020-02-04,1.0
South Korea,2020-02-05,2.0
South Korea,2020-02-06,5.0
South Korea,2020-02-07,1.0
South Korea,2020-02-08,0.0
South Korea,2020-02-09,1.0
South Korea,2020-02-10,2.0
South Korea,2020-02-11,1.0
South Korea,2020-02-12,0.0
South Korea,2020-02-13,0.0
South Korea,2020-02-14,0.0
South Korea,2020-02-15,0.0
South Korea,2020-02-16,1.0
South Korea,2020-02-17,1.0
South Korea,2020-02-18,1.0
South Korea,2020-02-19,15.0
South Korea,2020-02-20,34.0
South Korea,2020-02-21,75.0
South Korea,2020-02-22,190.0
South Korea,2020-02-23,256.0
South Korea,2020-02-24,161.0
South Korea,2020-02-25,130.0
South Korea,2020-02-26,254.0
South Korea,2020-02-27,449.0
South Korea,2020-02-28,427.0
South Korea,2020-02-29,909.0
South Korea,2020-03-01,595.0
South Korea,2020-03-02,686.0
South Korea,2020-03-03,600.0
South Korea,2020-03-04,516.0
South Korea,2020-03-05,438.0
South Korea,2020-03-06,518.0
South Korea,2020-03-07,483.0
South Korea,2020-03-08,367.0
South Korea,2020-03-09,248.0
South Korea,2020-03-10,131.0
South Korea,2020-03-11,242.0
South Korea,2020-03-12,114.0
South Korea,2020-03-13,110.0
South Korea,2020-03-14,107.0
South Korea,2020-03-15,76.0
South Korea,2020-03-16,74.0
South Korea,2020-03-17,84.0
South Korea,2020-03-18,93.0
South Korea,2020-03-19,152.0
South Korea,2020-03-20,87.0
South Korea,2020-03-21,147.0
South Korea,2020-03-22,98.0
South Korea,2020-03-23,64.0
South Korea,2020-03-24,76.0
South Korea,2020-03-25,100.0
South Korea,2020-03-26,104.0
South Korea,2020-03-27,91.0
South Korea,2020-03-28,146.0
South Korea,2020-03-29,105.0
South Korea,2020-03-30,78.0
South Korea,2020-03-31,125.0
South Korea,2020-04-01,0.0
South Korea,2020-04-02,190.0
South Korea,2020-04-03,86.0
South Korea,2020-04-04,94.0
South Korea,2020-04-05,81.0
South Korea,2020-04-06,47.0
South Korea,2020-04-07,47.0
South Korea,2020-04-08,53.0
South Korea,2020-04-09,39.0
South Korea,2020-04-10,27.0
South Korea,2020-04-11,0.0
South Korea,2020-04-12,62.0
South Korea,2020-04-13,25.0
South Korea,2020-04-14,27.0
South Korea,2020-04-15,27.0
South Korea,2020-04-16,22.0
South Korea,2020-04-17,22.0
South Korea,2020-04-18,18.0
South Korea,2020-04-19,8.0
South Korea,2020-04-20,13.0
South Korea,2020-04-21,9.0
South Korea,2020-04-22,11.0
South Korea,2020-04-23,8.0
South Korea,2020-04-24,6.0
South Korea,2020-04-25,10.0
South Korea,2020-04-26,10.0
South Korea,2020-04-27,10.0
South Korea,2020-04-28,14.0
South Korea,2020-04-29,9.0
South Korea,2020-04-30,4.0
South Korea,2020-05-01,9.0
South Korea,2020-05-02,6.0
South Korea,2020-05-03,13.0
South Korea,2020-05-04,8.0
South Korea,2020-05-05,3.0
South Korea,2020-05-06,2.0
South Korea,2020-05-07,4.0
South Korea,2020-05-08,12.0
South Korea,2020-05-09,18.0
South Korea,2020-05-10,34.0
South Korea,2020-05-11,35.0
South Korea,2020-05-12,27.0
South Korea,2020-05-13,26.0
South Korea,2020-05-14,29.0
South Korea,2020-05-15,27.0
South Korea,2020-05-16,19.0
South Korea,2020-05-17,13.0
South Korea,2020-05-18,15.0
South Korea,2020-05-19,13.0
South Korea,2020-05-20,32.0
South Korea,2020-05-21,12.0
South Korea,2020-05-22,20.0
South Korea,2020-05-23,23.0
South Korea,2020-05-24,25.0
South Korea,2020-05-25,16.0
South Korea,2020-05-26,19.0
South Korea,2020-05-27,40.0
South Korea,2020-05-28,79.0
South Korea,2020-05-29,58.0
South Korea,2020-05-30,39.0
South Korea,2020-05-31,27.0
South Korea,2020-06-01,35.0
South Korea,2020-06-02,38.0
South Korea,2020-06-03,49.0
South Korea,2020-06-04,39.0
South Korea,2020-06-05,39.0
South Korea,2020-06-06,51.0
South Korea,2020-06-07,57.0
South Korea,2020-06-08,38.0
South Korea,2020-06-09,38.0
South Korea,2020-06-10,50.0
South Korea,2020-06-11,45.0
South Korea,2020-06-12,56.0
South Korea,2020-06-13,48.0
South Korea,2020-06-14,33.0
South Korea,2020-06-15,37.0
South Korea,2020-06-16,34.0
South Korea,2020-06-17,43.0
South Korea,2020-06-18,59.0
South Korea,2020-06-19,49.0
South Korea,2020-06-20,67.0
South Korea,2020-06-21,48.0
South Korea,2020-06-22,17.0
South Korea,2020-06-23,46.0
South Korea,2020-06-24,51.0
South Korea,2020-06-25,28.0
South Korea,2020-06-26,39.0
South Korea,2020-06-27,51.0
South Korea,2020-06-28,62.0
South Korea,2020-06-29,42.0
South Korea,2020-06-30,43.0
South Korea,2020-07-01,50.0
South Korea,2020-07-02,54.0
South Korea,2020-07-03,63.0
South Korea,2020-07-04,63.0
South Korea,2020-07-05,61.0
South Korea,2020-07-06,0.0
South Korea,2020-07-07,90.0
South Korea,2020-07-08,63.0
South Korea,2020-07-09,49.0
South Korea,2020-07-10,45.0
South Korea,2020-07-11,35.0
South Korea,2020-07-12,44.0
South Korea,2020-07-13,62.0
South Korea,2020-07-14,33.0
South Korea,2020-07-15,39.0
South Korea,2020-07-16,61.0
South Korea,2020-07-17,60.0
South Korea,2020-07-18,39.0
South Korea,2020-07-19,34.0
South Korea,2020-07-20,26.0
South Korea,2020-07-21,45.0
South Korea,2020-07-22,63.0
South Korea,2020-07-23,59.0
South Korea,2020-07-24,41.0
South Korea,2020-07-25,113.0
South Korea,2020-07-26,58.0
South Korea,2020-07-27,25.0
South Korea,2020-07-28,28.0
United States,2019-12-31,0.0
United States,2020-01-01,0.0
United States,2020-01-02,0.0
United States,2020-01-03,0.0
United States,2020-01-04,0.0
United States,2020-01-05,0.0
United States,2020-01-06,0.0
United States,2020-01-07,0.0
United States,2020-01-08,0.0
United States,2020-01-09,0.0
United States,2020-01-10,0.0
United States,2020-01-11,0.0
United States,2020-01-12,0.0
United States,2020-01-13,0.0
United States,2020-01-14,0.0
United States,2020-01-15,0.0
United States,2020-01-16,0.0
United States,2020-01-17,0.0
United States,2020-01-18,0.0
United States,2020-01-19,0.0
United States,2020-01-20,0.0
United States,2020-01-21,1.0
United States,2020-01-22,0.0
United States,2020-01-23,0.0
United States,2020-01-24,0.0
United States,2020-01-25,1.0
United States,2020-01-26,0.0
United States,2020-01-27,3.0
United States,2020-01-28,0.0
United States,2020-01-29,0.0
United States,2020-01-30,0.0
United States,2020-01-31,1.0
United States,2020-02-01,1.0
United States,2020-02-02,1.0
United States,2020-02-03,3.0
United States,2020-02-04,0.0
United States,2020-02-05,0.0
United States,2020-02-06,1.0
United States,2020-02-07,0.0
United States,2020-02-08,0.0
United States,2020-02-09,0.0
United States,2020-02-10,0.0
United States,2020-02-11,1.0
United States,2020-02-12,0.0
United States,2020-02-13,1.0
United States,2020-02-14,1.0
United States,2020-02-15,0.0
United States,2020-02-16,0.0
United States,2020-02-17,0.0
United States,2020-02-18,0.0
United States,2020-02-19,0.0
United States,2020-02-20,0.0
United States,2020-02-21,1.0
United States,2020-02-22,19.0
United States,2020-02-23,0.0
United States,2020-02-24,0.0
United States,2020-02-25,18.0
United States,2020-02-26,0.0
United States,2020-02-27,6.0
United States,2020-02-28,1.0
United States,2020-02-29,6.0
United States,2020-03-01,3.0
United States,2020-03-02,20.0
United States,2020-03-03,14.0
United States,2020-03-04,22.0
United States,2020-03-05,34.0
United States,2020-03-06,74.0
United States,2020-03-07,105.0
United States,2020-03-08,95.0
United States,2020-03-09,121.0
United States,2020-03-10,200.0
United States,2020-03-11,271.0
United States,2020-03-12,287.0
United States,2020-03-13,351.0
United States,2020-03-14,511.0
United States,2020-03-15,777.0
United States,2020-03-16,823.0
United States,2020-03-17,887.0
United States,2020-03-18,1766.0
United States,2020-03-19,2988.0
United States,2020-03-20,4835.0
United States,2020-03-21,5374.0
United States,2020-03-22,7123.0
United States,2020-03-23,8459.0
United States,2020-03-24,11236.0
United States,2020-03-25,8789.0
United States,2020-03-26,13963.0
United States,2020-03-27,16797.0
United States,2020-03-28,18695.0
United States,2020-03-29,19979.0
United States,2020-03-30,18360.0
United States,2020-03-31,21595.0
United States,2020-04-01,24998.0
United States,2020-04-02,27103.0
United States,2020-04-03,28819.0
United States,2020-04-04,32425.0
United States,2020-04-05,34272.0
United States,2020-04-06,25398.0
United States,2020-04-07,30561.0
United States,2020-04-08,30613.0
United States,2020-04-09,33323.0
United States,2020-04-10,33901.0
United States,2020-04-11,35527.0
United States,2020-04-12,28391.0
United States,2020-04-13,27620.0
United States,2020-04-14,25023.0
United States,2020-04-15,26922.0
United States,2020-04-16,30148.0
United States,2020-04-17,31667.0
United States,2020-04-18,30833.0
United States,2020-04-19,32922.0
United States,2020-04-20,24601.0
United States,2020-04-21,28065.0
United States,2020-04-22,37289.0
United States,2020-04-23,17588.0
United States,2020-04-24,26543.0
United States,2020-04-25,21352.0
United States,2020-04-26,48529.0
United States,2020-04-27,26857.0
United States,2020-04-28,22541.0
United States,2020-04-29,24132.0
United States,2020-04-30,27326.0
United States,2020-05-01,29917.0
United States,2020-05-02,33955.0
United States,2020-05-03,29288.0
United States,2020-05-04,24972.0
United States,2020-05-05,22593.0
United States,2020-05-06,23841.0
United States,2020-05-07,24128.0
United States,2020-05-08,28369.0
United States,2020-05-09,26957.0
United States,2020-05-10,25612.0
United States,2020-05-11,20258.0
United States,2020-05-12,18117.0
United States,2020-05-13,22048.0
United States,2020-05-14,20782.0
United States,2020-05-15,27143.0
United States,2020-05-16,25508.0
United States,2020-05-17,24487.0
United States,2020-05-18,18873.0
United States,2020-05-19,21841.0
United States,2020-05-20,19970.0
United States,2020-05-21,23285.0
United States,2020-05-22,25434.0
United States,2020-05-23,24147.0
United States,2020-05-24,21236.0
United States,2020-05-25,20568.0
United States,2020-05-26,19064.0
United States,2020-05-27,18910.0
United States,2020-05-28,18721.0
United States,2020-05-29,21817.0
United States,2020-05-30,25337.0
United States,2020-05-31,23297.0
United States,2020-06-01,19807.0
United States,2020-06-02,21086.0
United States,2020-06-03,20544.0
United States,2020-06-04,19699.0
United States,2020-06-05,21140.0
United States,2020-06-06,25178.0
United States,2020-06-07,22223.0
United States,2020-06-08,22302.0
United States,2020-06-09,18822.0
United States,2020-06-10,18665.0
United States,2020-06-11,20614.0
United States,2020-06-12,22883.0
United States,2020-06-13,25639.0
United States,2020-06-14,25540.0
United States,2020-06-15,19543.0
United States,2020-06-16,19957.0
United States,2020-06-17,23705.0
United States,2020-06-18,25559.0
United States,2020-06-19,27762.0
United States,2020-06-20,29909.0
United States,2020-06-21,34158.0
United States,2020-06-22,25793.0
United States,2020-06-23,31390.0
United States,2020-06-24,34720.0
United States,2020-06-25,34339.0
United States,2020-06-26,40949.0
United States,2020-06-27,45527.0
United States,2020-06-28,42486.0
United States,2020-06-29,38673.0
United States,2020-06-30,41556.0
United States,2020-07-01,43880.0
United States,2020-07-02,52048.0
United States,2020-07-03,53399.0
United States,2020-07-04,54442.0
United States,2020-07-05,45221.0
United States,2020-07-06,49093.0
United States,2020-07-07,49990.0
United States,2020-07-08,57473.0
United States,2020-07-09,58906.0
United States,2020-07-10,63004.0
United States,2020-07-11,66625.0
United States,2020-07-12,63051.0
United States,2020-07-13,57258.0
United States,2020-07-14,58114.0
United States,2020-07-15,68518.0
United States,2020-07-16,67717.0
United States,2020-07-17,76930.0
United States,2020-07-18,71494.0
United States,2020-07-19,63749.0
United States,2020-07-20,61796.0
United States,2020-07-21,56750.0
United States,2020-07-22,72048.0
United States,2020-07-23,68848.0
United States,2020-07-24,63196.0
United States,2020-07-25,78427.0
United States,2020-07-26,65498.0
United States,2020-07-27,55993.0
United States,2020-07-28,56243.0
